City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.06,clear sky,-23.1203,-134.9692,People ThankYou
3,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
4,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
5,Camabatela,AO,77.88,broken clouds,-8.1881,15.375,Comércio e Prestação de Serviços
6,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
11,Hithadhoo,MV,83.62,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Bengkulu,ID,82.65,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
15,Butaritari,KI,82.0,broken clouds,3.0707,172.7902,Isles Sunset Lodge
18,Port Blair,IN,86.7,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
22,Chakrata,IN,77.02,broken clouds,30.7,77.85,Hotel Hill Knights
23,Mocuba,MZ,83.39,broken clouds,-16.8392,36.9856,Phama Lodge
26,Acapulco,MX,75.7,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
27,Faya,SA,81.12,few clouds,18.3851,42.4509,املاك خالد الشعشوع
28,Bambanglipuro,ID,82.44,broken clouds,-7.95,110.2833,Puri Brata
29,Singaraja,ID,83.32,moderate rain,-8.112,115.0882,Puri Bagus Lovina Resort
32,Cape Town,ZA,78.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,Karangampel,ID,84.61,scattered clouds,-6.4622,108.4519,ROOFTOP WAG ALL
38,Tual,ID,84.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
39,Boa Vista,BR,75.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
41,Sola,VU,82.33,broken clouds,-13.8833,167.55,Leumerus Bungalows
43,Morondava,MG,86.54,light rain,-20.2833,44.2833,La Case Bambou
49,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
50,Puerto Escondido,MX,79.45,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
59,Katobu,ID,77.76,overcast clouds,-4.9408,122.5276,La Ode Husein
64,Kamina,CD,77.97,light rain,-8.7386,24.9906,Guest House Florvia
67,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Daru,PG,80.47,overcast clouds,-9.0763,143.2092,Daru Lodge
71,Arawa,PG,77.83,overcast clouds,-6.2132,155.5367,Coastline Guest House
83,Eseka,CM,89.71,broken clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
84,Hambantota,LK,88.14,overcast clouds,6.1241,81.1185,Bungalow 63
85,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
86,Isangel,VU,80.49,overcast clouds,-19.55,169.2667,Tanna Lodge
89,Miramar,US,77.02,clear sky,25.9873,-80.2323,Stadium Hotel
90,Sayyan,YE,75.67,scattered clouds,15.1718,44.3244,ملاطف ابوحورية
92,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
102,Kloulklubed,PW,83.71,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
111,Jalu,LY,80.73,overcast clouds,29.0331,21.5482,صاحبة الفخامة
114,Alice Springs,AU,85.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
125,Faanui,PF,81.25,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
129,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
131,Karratha,AU,89.19,broken clouds,-20.7377,116.8463,ibis Styles Karratha
134,Ponta Do Sol,PT,75.13,overcast clouds,32.6667,-17.1,Hotel do Campo
136,Balaguer,ES,77.16,clear sky,41.7912,0.8109,Hotel Balaguer
143,Mayumba,GA,82.53,broken clouds,-3.432,10.6554,LIKWALE LODGE
159,Zharkent,KZ,80.42,clear sky,44.1628,80.0,гостиница Satti
162,Kavieng,PG,83.39,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
164,San Rafael Del Sur,NI,76.55,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
166,Palu,ID,78.84,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
168,Keningau,MY,76.69,broken clouds,5.3378,116.1602,Sabindo Hotel
177,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
180,Kirakira,SB,80.15,overcast clouds,-10.4544,161.9205,SanBiz Lodge
181,Awassa,ET,79.38,overcast clouds,7.05,38.4667,ፓራዳይስ ሆቴል ሀዋሳ / Paradise Hotel Hawassa
183,Mogadishu,SO,87.17,broken clouds,2.0371,45.3438,Hotel Juba
185,Abu Kamal,SY,80.69,clear sky,34.4506,40.9171,محطة التلفاز
186,Miri,MY,82.53,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
189,Simao,CN,81.7,light rain,22.7886,100.9748,Changyu Hotel
197,Atuona,PF,79.21,broken clouds,-9.8,-139.0333,Villa Enata
200,Mont-Dore,NC,79.0,scattered clouds,-22.2833,166.5833,GIte
208,Labuhan,ID,84.07,broken clouds,-6.8844,112.2051,DoubleFAG
214,Grand Gaube,MU,81.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
215,Caravelas,BR,75.87,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
217,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
218,Kavaratti,IN,84.76,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
222,Ratnagiri,IN,87.33,clear sky,16.9833,73.3,Hotel Landmark
223,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
227,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
229,Kongolo,CD,76.37,light rain,-5.3833,27.0,GUEST HOUSE OASIS
230,Omboue,GA,85.59,light rain,-1.5746,9.2618,Hotel Olako
235,Salalah,OM,87.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
237,Arlit,NE,83.84,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
239,Nerja,ES,80.49,clear sky,36.7585,-3.8873,Toboso apar-turis
243,Moerai,PF,79.56,scattered clouds,-22.4333,-151.3333,Le Manotel
244,Port Hedland,AU,89.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
249,Bubaque,GW,75.97,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
254,Victoria,HK,75.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
255,Beaumont,US,76.98,mist,30.0861,-94.1019,Super 8 by Wyndham Beaumont
260,Balabac,PH,82.54,broken clouds,7.9868,117.0645,Batalla’s Lodging House
262,Osmena,PH,82.76,scattered clouds,10.5208,119.9258,Arjemarkyza Lodge
265,Lodwar,KE,88.92,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
271,Bonthe,SL,84.4,broken clouds,7.5264,-12.505,Bonthe Holiday Village
272,Waingapu,ID,82.2,light rain,-9.6567,120.2641,Pondok Wisata Elim
275,Souillac,MU,79.88,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
277,Payakumbuh,ID,76.98,overcast clouds,-0.2202,100.6308,Dalimo Homestay
290,Sokoni,TZ,81.3,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
297,San Patricio,US,75.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
303,Ambovombe,MG,83.7,scattered clouds,-25.1667,46.0833,RELAHARA
304,San Policarpo,PH,81.19,scattered clouds,12.1791,125.5072,Agapita M. Nicart
306,Aguimes,ES,75.83,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
310,Iralaya,HN,76.3,clear sky,15.0,-83.2333,Iglesia morava renovada
312,Chirongui,YT,89.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
321,Saint-Joseph,RE,85.1,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
323,Komsomolskiy,UZ,84.92,overcast clouds,40.4272,71.7189,Ikathouse
330,Sinnamary,GF,76.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
337,Namatanai,PG,81.61,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
340,Lorengau,PG,81.9,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
342,Marsh Harbour,BS,75.06,clear sky,26.5412,-77.0636,Abaco Beach Resort
344,Alyangula,AU,81.0,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
345,Sindou,BF,84.69,overcast clouds,10.6667,-5.1667,LERABA HOTEL
346,Biak,ID,75.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
357,Balkhash,KZ,77.61,clear sky,46.844,74.9804,Family
364,Umm Lajj,SA,87.03,clear sky,25.0213,37.2685,Moon light Furnished Units
369,Popondetta,PG,76.15,light rain,-8.7537,148.2534,Timos Transit House
372,Ocos,GT,75.38,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
373,Harper,LR,78.55,overcast clouds,4.375,-7.7169,Screensaver
377,Wanning,CN,78.73,broken clouds,18.8003,110.3967,Paradise Hotel
379,Maningrida,AU,81.07,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
380,Bafq,IR,82.87,few clouds,31.6128,55.4107,Alamdar Hotel
382,Contai,IN,85.59,broken clouds,21.7786,87.7536,PATHFINDER
385,Ugoofaaru,MV,84.96,overcast clouds,5.6667,73.0,Ungoofaaru Inn
386,Nueva Gerona,CU,77.88,clear sky,21.8833,-82.8,Villa Gerona
389,Olinda,BR,78.53,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
394,Tautira,PF,80.08,light rain,-17.7333,-149.15,Pension Oaoa
398,Luis Correia,BR,77.29,overcast clouds,-2.8792,-41.6669,Hotel Amarração
404,Sao Miguel,BR,75.97,overcast clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
412,Rio Chiquito,HN,77.95,few clouds,15.6333,-88.25,"Iglesia de Dios "" Oasis de Bendicion"""
414,Meulaboh,ID,82.9,broken clouds,4.1363,96.1285,Kost Pria
415,Fort Wellington,GY,75.63,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
