City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2022-04-17 10:00:55,-54.8,-68.3,40.91,97,100,10.76,overcast clouds
1,Jamestown,US,2022-04-17 10:05:33,42.097,-79.2353,30.52,76,100,13.8,light snow
2,Rikitea,PF,2022-04-17 10:05:33,-23.1203,-134.9692,78.06,68,7,12.57,clear sky
3,Cabo San Lucas,MX,2022-04-17 10:04:32,22.8909,-109.9124,75.51,28,97,12.57,overcast clouds
4,Avarua,CK,2022-04-17 10:05:35,-21.2078,-159.775,75.25,94,90,4.61,overcast clouds
5,Camabatela,AO,2022-04-17 10:05:35,-8.1881,15.375,77.88,61,60,4.23,broken clouds
6,Padang,ID,2022-04-17 10:05:35,-0.9492,100.3543,86.05,81,80,2.53,broken clouds
7,Albany,US,2022-04-17 10:05:36,42.6001,-73.9662,34.39,71,27,5.99,scattered clouds
8,Bredasdorp,ZA,2022-04-17 10:05:36,-34.5322,20.0403,69.12,45,4,10.2,clear sky
9,Aklavik,CA,2022-04-17 10:05:36,68.2191,-135.0107,-1.23,83,32,12.44,scattered clouds
10,Prata,BR,2022-04-17 10:05:36,-19.3072,-48.9242,57.69,79,0,4.43,clear sky
11,Hithadhoo,MV,2022-04-17 10:04:34,-0.6,73.0833,83.62,69,100,5.12,overcast clouds
12,Bengkulu,ID,2022-04-17 10:05:37,-3.8004,102.2655,82.65,82,72,4.43,broken clouds
13,Hermanus,ZA,2022-04-17 10:05:37,-34.4187,19.2345,70.81,52,23,8.41,few clouds
14,Kaeo,NZ,2022-04-17 10:05:38,-35.1,173.7833,63.32,96,100,21.39,moderate rain
15,Butaritari,KI,2022-04-17 10:05:38,3.0707,172.7902,82.0,76,67,14.05,broken clouds
16,Hobart,AU,2022-04-17 10:05:38,-42.8794,147.3294,65.23,77,75,14.97,broken clouds
17,Bethel,US,2022-04-17 10:05:39,41.3712,-73.414,39.94,93,40,3.44,scattered clouds
18,Port Blair,IN,2022-04-17 10:05:39,11.6667,92.75,86.7,60,6,6.02,clear sky
19,Ribeira Grande,PT,2022-04-17 10:05:39,38.5167,-28.7,61.2,72,20,10.36,few clouds
20,Porto Velho,BR,2022-04-17 10:05:39,-8.7619,-63.9039,73.45,94,40,2.3,scattered clouds
21,Punta Arenas,CL,2022-04-17 10:01:49,-53.15,-70.9167,46.11,93,100,8.12,overcast clouds
22,Chakrata,IN,2022-04-17 10:05:40,30.7,77.85,77.02,17,76,8.48,broken clouds
23,Mocuba,MZ,2022-04-17 10:05:40,-16.8392,36.9856,83.39,66,54,6.67,broken clouds
24,Hilo,US,2022-04-17 10:00:54,19.7297,-155.09,73.27,81,100,8.01,overcast clouds
25,Lockport,US,2022-04-17 10:05:41,41.5895,-88.0578,30.99,89,0,0.0,clear sky
26,Acapulco,MX,2022-04-17 10:02:38,16.8634,-99.8901,75.7,67,18,4.99,few clouds
27,Faya,SA,2022-04-17 10:05:41,18.3851,42.4509,81.12,23,12,14.65,few clouds
28,Bambanglipuro,ID,2022-04-17 10:05:41,-7.95,110.2833,82.44,82,66,8.01,broken clouds
29,Singaraja,ID,2022-04-17 10:05:42,-8.112,115.0882,83.32,79,93,2.66,moderate rain
30,Rabo De Peixe,PT,2022-04-17 10:05:42,37.8,-25.5833,62.11,77,20,14.97,few clouds
31,Busselton,AU,2022-04-17 10:05:42,-33.65,115.3333,59.92,59,1,12.35,clear sky
32,Cape Town,ZA,2022-04-17 10:02:36,-33.9258,18.4232,78.12,44,6,7.0,clear sky
33,Narsaq,GL,2022-04-17 10:05:43,60.9167,-46.05,32.22,82,100,0.94,overcast clouds
34,Vaini,TO,2022-04-17 10:05:43,-21.2,-175.2,75.36,94,40,4.61,scattered clouds
35,Karangampel,ID,2022-04-17 10:05:44,-6.4622,108.4519,84.61,73,39,7.34,scattered clouds
36,Qaanaaq,GL,2022-04-17 10:05:44,77.484,-69.3632,-19.32,67,0,8.01,clear sky
37,Galich,RU,2022-04-17 10:05:44,58.3797,42.3475,42.13,44,11,8.48,few clouds
38,Tual,ID,2022-04-17 10:05:45,-5.6667,132.75,84.81,69,100,5.57,overcast clouds
39,Boa Vista,BR,2022-04-17 10:05:10,2.8197,-60.6733,75.18,83,0,4.61,clear sky
40,Chuy,UY,2022-04-17 10:05:45,-33.6971,-53.4616,59.5,85,49,4.97,scattered clouds
41,Sola,VU,2022-04-17 10:05:45,-13.8833,167.55,82.33,73,74,8.88,broken clouds
42,Tahoua,NE,2022-04-17 10:05:46,14.8888,5.2692,93.63,7,92,9.57,overcast clouds
43,Morondava,MG,2022-04-17 10:05:47,-20.2833,44.2833,86.54,70,7,7.36,light rain
44,Pacific Grove,US,2022-04-17 10:05:47,36.6177,-121.9166,47.66,90,1,1.99,clear sky
45,Nanortalik,GL,2022-04-17 10:05:48,60.1432,-45.2371,29.61,86,100,6.15,overcast clouds
46,Mataura,NZ,2022-04-17 10:05:48,-46.1927,168.8643,44.47,96,74,2.68,broken clouds
47,Moranbah,AU,2022-04-17 10:06:48,-22.0016,148.0466,70.39,55,0,10.67,clear sky
48,Dorchester,US,2022-04-17 10:06:49,33.1002,-80.3831,67.06,99,0,0.0,clear sky
49,Kahului,US,2022-04-17 10:06:49,20.8947,-156.47,75.85,74,0,8.99,clear sky
50,Puerto Escondido,MX,2022-04-17 10:06:50,15.85,-97.0667,79.45,67,28,5.3,scattered clouds
51,Port Alfred,ZA,2022-04-17 10:06:50,-33.5906,26.891,71.19,69,95,3.0,overcast clouds
52,Port Elizabeth,ZA,2022-04-17 10:06:51,-33.918,25.5701,69.1,73,97,4.0,overcast clouds
53,Arraial Do Cabo,BR,2022-04-17 10:06:52,-22.9661,-42.0278,69.66,83,75,9.22,broken clouds
54,Fortuna,US,2022-04-17 10:06:52,40.5982,-124.1573,40.66,94,0,8.05,clear sky
55,Saint-Augustin,CA,2022-04-17 10:06:52,51.226,-58.6502,30.04,95,100,2.64,overcast clouds
56,East London,ZA,2022-04-17 10:06:53,-33.0153,27.9116,72.54,64,0,10.36,clear sky
57,Husavik,IS,2022-04-17 10:06:53,66.0449,-17.3389,43.7,86,78,9.73,broken clouds
58,Norman Wells,CA,2022-04-17 10:05:20,65.282,-126.8329,-6.79,100,78,1.54,broken clouds
59,Katobu,ID,2022-04-17 10:06:53,-4.9408,122.5276,77.76,89,93,1.77,overcast clouds
60,Yellowknife,CA,2022-04-17 10:06:54,62.456,-114.3525,-12.66,98,74,5.03,broken clouds
61,Vestmannaeyjar,IS,2022-04-17 10:06:54,63.4427,-20.2734,44.4,79,100,10.87,light rain
62,Castro,BR,2022-04-17 10:06:54,-24.7911,-50.0119,51.69,92,77,7.76,broken clouds
63,Sandwick,GB,2022-04-17 10:06:55,60.0,-1.25,48.02,93,75,10.36,mist
64,Kamina,CD,2022-04-17 10:06:55,-8.7386,24.9906,77.97,66,72,5.75,light rain
65,Bilma,NE,2022-04-17 10:06:55,18.6853,12.9164,93.51,6,34,11.41,scattered clouds
66,Nikolskoye,RU,2022-04-17 10:06:56,59.7035,30.7861,47.88,48,76,4.09,broken clouds
67,Mahebourg,MU,2022-04-17 10:06:56,-20.4081,57.7,81.25,80,42,15.41,light rain
68,Daru,PG,2022-04-17 10:06:56,-9.0763,143.2092,80.47,85,97,8.88,overcast clouds
69,Luchegorsk,RU,2022-04-17 10:06:56,46.4764,134.2569,43.3,45,64,6.96,broken clouds
70,Ustka,PL,2022-04-17 10:06:43,54.5805,16.8619,48.09,54,77,6.98,broken clouds
71,Arawa,PG,2022-04-17 10:06:57,-6.2132,155.5367,77.83,90,100,1.28,overcast clouds
72,Barrow,US,2022-04-17 10:06:57,71.2906,-156.7887,-0.38,78,0,14.97,clear sky
73,Almaznyy,RU,2022-04-17 10:06:57,48.0448,40.045,61.75,49,96,8.72,overcast clouds
74,Nouadhibou,MR,2022-04-17 10:06:58,20.931,-17.0347,64.56,91,17,8.75,few clouds
75,Kapaa,US,2022-04-17 10:06:58,22.0752,-159.319,71.58,99,44,12.08,scattered clouds
76,Miguel Alves,BR,2022-04-17 10:06:59,-4.1656,-42.8953,74.59,97,85,0.76,overcast clouds
77,Clyde River,CA,2022-04-17 10:06:59,70.4692,-68.5914,-18.17,76,75,5.75,broken clouds
78,Puerto Ayora,EC,2022-04-17 10:06:59,-0.7393,-90.3518,74.34,93,71,6.2,broken clouds
79,Provideniya,RU,2022-04-17 10:07:00,64.3833,-173.3,30.38,96,100,13.47,light snow
80,Vranestica,MK,2022-04-17 10:07:00,41.4453,21.0267,50.41,94,100,5.46,overcast clouds
81,Hearst,CA,2022-04-17 10:07:00,49.6835,-83.6665,14.14,97,99,5.14,overcast clouds
82,Arman,RU,2022-04-17 10:07:01,59.7,150.1667,23.58,82,100,4.18,overcast clouds
83,Eseka,CM,2022-04-17 10:07:01,3.65,10.7667,89.71,56,74,2.13,broken clouds
84,Hambantota,LK,2022-04-17 10:04:05,6.1241,81.1185,88.14,79,90,9.22,overcast clouds
85,Mount Isa,AU,2022-04-17 10:07:02,-20.7333,139.5,83.97,23,0,6.91,clear sky
86,Isangel,VU,2022-04-17 10:07:02,-19.55,169.2667,80.49,81,100,2.42,overcast clouds
87,San Carlos De Bariloche,AR,2022-04-17 10:07:02,-41.1456,-71.3082,47.95,66,40,6.91,scattered clouds
88,Tuatapere,NZ,2022-04-17 10:07:03,-46.1333,167.6833,45.07,86,18,3.49,few clouds
89,Miramar,US,2022-04-17 10:07:03,25.9873,-80.2323,77.02,82,0,9.22,clear sky
90,Sayyan,YE,2022-04-17 10:07:04,15.1718,44.3244,75.67,15,38,3.74,scattered clouds
91,Bluff,NZ,2022-04-17 10:08:04,-46.6,168.3333,44.8,73,55,5.28,broken clouds
92,Bambous Virieux,MU,2022-04-17 10:08:04,-20.3428,57.7575,81.21,80,42,15.14,light rain
93,Palana,RU,2022-04-17 10:08:05,59.1167,159.9667,15.98,95,85,5.35,overcast clouds
94,Lazaro Cardenas,MX,2022-04-17 10:08:06,17.9583,-102.2,71.51,87,92,3.98,overcast clouds
95,Seoul,KR,2022-04-17 10:08:06,37.5683,126.9778,65.59,28,27,7.34,scattered clouds
96,Bilibino,RU,2022-04-17 10:08:07,68.0546,166.4372,16.34,96,100,4.18,overcast clouds
97,Gusau,NG,2022-04-17 10:08:07,12.1628,6.6614,93.15,28,60,8.61,broken clouds
98,Mehamn,NO,2022-04-17 10:08:08,71.0357,27.8492,37.71,92,100,18.41,overcast clouds
99,Sitka,US,2022-04-17 10:08:08,57.0531,-135.33,37.29,65,100,4.61,overcast clouds
100,Miquelon,PM,2022-04-17 10:08:08,47.0975,-56.3814,37.4,85,100,17.9,overcast clouds
101,Nokaneng,BW,2022-04-17 10:08:09,-19.6667,22.2667,79.93,55,66,11.45,broken clouds
102,Kloulklubed,PW,2022-04-17 10:08:09,7.0419,134.2556,83.71,69,87,4.72,overcast clouds
103,Igarka,RU,2022-04-17 10:08:09,67.4667,86.5833,19.15,89,100,17.76,overcast clouds
104,New Norfolk,AU,2022-04-17 10:08:10,-42.7826,147.0587,64.89,66,100,1.99,overcast clouds
105,Jacareacanga,BR,2022-04-17 10:08:10,-6.2222,-57.7528,72.37,99,100,0.4,moderate rain
106,Torbay,CA,2022-04-17 10:03:18,47.6666,-52.7314,43.57,70,100,5.01,overcast clouds
107,Sorland,NO,2022-04-17 10:08:11,67.667,12.6934,41.79,93,95,21.61,light rain
108,Batsfjord,NO,2022-04-17 10:08:11,70.6345,29.7185,37.18,87,100,13.8,overcast clouds
109,Aswan,EG,2022-04-17 10:08:11,24.0934,32.907,103.33,7,96,7.29,overcast clouds
110,Skibbereen,IE,2022-04-17 10:08:12,51.55,-9.2667,53.11,86,100,11.9,light rain
111,Jalu,LY,2022-04-17 10:08:12,29.0331,21.5482,80.73,31,94,16.33,overcast clouds
112,Tanout,NE,2022-04-17 10:08:12,14.9709,8.8879,93.11,7,26,13.47,scattered clouds
113,Sioux Lookout,CA,2022-04-17 10:08:13,50.1001,-91.917,-2.61,100,93,3.06,overcast clouds
114,Alice Springs,AU,2022-04-17 10:04:24,-23.7,133.8833,85.55,23,41,5.75,scattered clouds
115,Launceston,AU,2022-04-17 10:08:13,-41.45,147.1667,64.04,83,100,13.8,light intensity shower rain
116,Tasiilaq,GL,2022-04-17 10:08:14,65.6145,-37.6368,33.96,99,100,2.06,light snow
117,Petropavlovsk-Kamchatskiy,RU,2022-04-17 10:08:14,53.0452,158.6483,30.78,63,100,1.81,overcast clouds
118,Esperance,AU,2022-04-17 10:08:14,-33.8667,121.9,61.03,65,95,12.75,overcast clouds
119,Hamilton,US,2022-04-17 10:05:30,39.1834,-84.5333,36.99,70,0,8.05,clear sky
120,Schwerin,DE,2022-04-17 10:04:07,53.6294,11.4132,54.14,46,86,4.0,overcast clouds
121,Poum,NC,2022-04-17 10:08:15,-20.2333,164.0167,78.94,62,7,8.21,clear sky
122,Hudson Bay,CA,2022-04-17 10:08:15,52.85,-102.3842,12.27,98,100,0.49,overcast clouds
123,Outlook,CA,2022-04-17 10:08:16,51.5001,-107.0513,24.08,77,100,2.73,overcast clouds
124,Ancud,CL,2022-04-17 10:08:16,-41.8697,-73.8203,48.24,86,59,1.48,broken clouds
125,Faanui,PF,2022-04-17 10:08:16,-16.4833,-151.75,81.25,73,12,12.88,light rain
126,Hami,CN,2022-04-17 10:08:16,42.8,93.45,67.17,10,0,4.18,clear sky
127,Katsuura,JP,2022-04-17 10:08:17,35.1333,140.3,58.5,66,100,8.9,overcast clouds
128,Erenhot,CN,2022-04-17 10:08:17,43.6475,111.9767,55.99,19,92,14.65,overcast clouds
129,Yulara,AU,2022-04-17 10:08:17,-25.2406,130.9889,80.44,28,1,5.75,clear sky
130,Carman,CA,2022-04-17 10:08:18,49.4992,-98.0016,10.89,95,100,5.1,overcast clouds
131,Karratha,AU,2022-04-17 10:08:18,-20.7377,116.8463,89.19,36,70,6.64,broken clouds
132,Phayakkhaphum Phisai,TH,2022-04-17 10:04:31,15.5163,103.1937,94.41,43,97,9.24,overcast clouds
133,Georgetown,MY,2022-04-17 10:08:18,5.4112,100.3354,91.33,62,20,3.44,few clouds
