City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shaoguan,CN,2022-04-09 17:28:49,24.8,113.5833,67.78,63,0,1.43
1,Vanavara,RU,2022-04-09 17:28:50,60.34,102.2797,14.43,98,91,3.11
2,Isangel,VU,2022-04-09 17:28:50,-19.55,169.2667,80.29,84,100,10.0
3,Lagoa,PT,2022-04-09 17:28:51,39.05,-27.9833,55.96,67,99,36.55
4,Qaanaaq,GL,2022-04-09 17:28:51,77.484,-69.3632,-0.56,71,11,4.43
5,Castro,BR,2022-04-09 17:28:52,-24.7911,-50.0119,78.48,56,66,6.89
6,Longyearbyen,SJ,2022-04-09 17:28:52,78.2186,15.6401,22.84,68,20,14.97
7,Albany,US,2022-04-09 17:28:52,42.6001,-73.9662,45.37,88,100,1.99
8,Innisfail,AU,2022-04-09 17:28:53,-17.5333,146.0333,73.83,93,79,5.59
9,Yellowknife,CA,2022-04-09 17:28:53,62.456,-114.3525,24.42,73,20,24.16
10,Severo-Kurilsk,RU,2022-04-09 17:28:53,50.6789,156.125,24.39,77,41,4.18
11,Bredasdorp,ZA,2022-04-09 17:28:54,-34.5322,20.0403,61.68,81,13,22.3
12,Busselton,AU,2022-04-09 17:28:54,-33.65,115.3333,60.01,60,96,7.23
13,Torbay,CA,2022-04-09 17:28:55,47.6666,-52.7314,40.28,84,100,23.02
14,Rio Grande,BR,2022-04-09 17:26:36,-32.035,-52.0986,84.31,71,16,10.92
15,Morehead,US,2022-04-09 17:25:30,37.2711,-87.1764,50.79,46,75,8.05
16,Rikitea,PF,2022-04-09 17:28:55,-23.1203,-134.9692,79.07,74,33,18.81
17,Houma,US,2022-04-09 17:28:56,29.5958,-90.7195,70.0,31,0,6.91
18,Abbotsford,CA,2022-04-09 17:26:26,49.058,-122.2526,46.65,81,75,6.91
19,New Norfolk,AU,2022-04-09 17:28:56,-42.7826,147.0587,64.92,65,55,1.01
20,Yanahuanca,PE,2022-04-09 17:28:56,-10.5167,-76.4986,50.72,62,100,7.83
21,Naze,JP,2022-04-09 17:28:57,28.3667,129.4833,65.32,82,8,9.37
22,Lebu,CL,2022-04-09 17:28:57,-37.6167,-73.65,55.02,93,74,11.48
23,Kapaa,US,2022-04-09 17:28:57,22.0752,-159.319,74.19,85,100,14.97
24,Chokwe,MZ,2022-04-09 17:28:58,-24.5333,32.9833,71.69,66,100,9.17
25,Hithadhoo,MV,2022-04-09 17:28:58,-0.6,73.0833,83.86,69,71,8.37
26,Batagay,RU,2022-04-09 17:28:58,67.6333,134.6333,-2.56,100,100,2.98
27,Punta Arenas,CL,2022-04-09 17:25:54,-53.15,-70.9167,51.91,71,75,10.36
28,Flin Flon,CA,2022-04-09 17:28:59,54.7682,-101.865,37.24,70,75,8.05
29,Avarua,CK,2022-04-09 17:28:59,-21.2078,-159.775,82.45,78,20,10.36
30,Luderitz,NA,2022-04-09 17:28:59,-26.6481,15.1594,66.72,57,0,1.54
31,Bejar,ES,2022-04-09 17:29:00,40.3864,-5.7634,55.83,78,92,8.05
32,Requena,ES,2022-04-09 17:29:00,39.4883,-1.1004,60.51,51,51,17.07
33,Dali,CN,2022-04-09 17:29:01,25.7,100.1833,55.72,73,30,4.52
34,Bowen,AU,2022-04-09 17:29:01,-20.0167,148.2333,76.64,86,80,13.11
35,Butaritari,KI,2022-04-09 17:29:01,3.0707,172.7902,79.99,80,84,11.27
36,Sao Joao Da Barra,BR,2022-04-09 17:29:02,-21.6403,-41.0511,89.69,77,72,10.25
37,Chapais,CA,2022-04-09 17:29:02,49.7834,-74.8492,37.18,95,100,7.07
38,Mehamn,NO,2022-04-09 17:29:02,71.0357,27.8492,35.76,98,100,29.66
39,Port Keats,AU,2022-04-09 17:29:03,-14.25,129.55,76.32,50,5,4.29
40,Coihaique,CL,2022-04-09 17:28:10,-45.5752,-72.0662,54.21,71,40,6.91
41,Ushuaia,AR,2022-04-09 17:29:03,-54.8,-68.3,51.42,57,20,3.44
42,Tasiilaq,GL,2022-04-09 17:29:04,65.6145,-37.6368,33.96,82,100,3.51
43,Sabang,ID,2022-04-09 17:29:04,5.8933,95.3214,83.68,67,57,1.12
44,Poya,NC,2022-04-09 17:29:05,-21.35,165.15,74.95,92,74,4.5
45,Hermanus,ZA,2022-04-09 17:29:05,-34.4187,19.2345,63.81,76,0,24.2
46,Ilulissat,GL,2022-04-09 17:30:05,69.2167,-51.1,15.82,67,75,0.0
47,Bluff,NZ,2022-04-09 17:30:06,-46.6,168.3333,56.88,76,91,21.74
48,Verkhoyansk,RU,2022-04-09 17:30:07,67.5447,133.385,-7.78,98,100,3.69
49,Saint-Pierre,RE,2022-04-09 17:29:56,-21.3393,55.4781,78.48,67,100,18.41
50,Henties Bay,NA,2022-04-09 17:30:08,-22.116,14.2845,62.29,79,0,8.97
51,Mount Isa,AU,2022-04-09 17:30:08,-20.7333,139.5,78.57,29,18,8.05
52,Kawalu,ID,2022-04-09 17:30:08,-7.3817,108.2082,71.22,95,57,2.17
53,Souillac,MU,2022-04-09 17:30:09,-20.5167,57.5167,79.18,83,40,6.91
54,Hobart,AU,2022-04-09 17:26:04,-42.8794,147.3294,65.26,79,40,8.05
55,Iquique,CL,2022-04-09 17:25:12,-20.2208,-70.1431,69.84,65,48,8.08
56,Atuona,PF,2022-04-09 17:30:10,-9.8,-139.0333,79.57,78,26,22.57
57,Mimongo,GA,2022-04-09 17:30:10,-1.6195,11.6068,68.72,97,100,0.4
58,Sandnessjoen,NO,2022-04-09 17:30:10,66.0217,12.6316,42.66,64,100,3.0
59,Lasa,IT,2022-04-09 17:30:11,46.6166,10.7002,45.7,83,93,8.21
60,Christchurch,NZ,2022-04-09 17:30:11,-43.5333,172.6333,50.92,92,55,8.05
61,Billings,US,2022-04-09 17:26:48,45.7833,-108.5007,50.29,24,75,12.66
62,Alofi,NU,2022-04-09 17:30:12,-19.0595,-169.9187,73.29,94,75,1.14
63,Barra,BR,2022-04-09 17:29:04,-11.0894,-43.1417,95.0,23,12,4.97
64,Tieling,CN,2022-04-09 17:30:12,42.2931,123.8414,58.95,63,82,10.6
65,Suzdal,RU,2022-04-09 17:30:12,56.4281,40.4414,40.15,91,100,7.23
66,Provideniya,RU,2022-04-09 17:30:13,64.3833,-173.3,30.88,98,100,13.0
67,Carnarvon,AU,2022-04-09 17:30:13,-24.8667,113.6333,71.67,64,1,16.11
68,Eureka,US,2022-04-09 17:30:13,40.8021,-124.1637,54.12,66,5,13.0
69,Mar Del Plata,AR,2022-04-09 17:29:50,-38.0023,-57.5575,68.02,93,75,13.8
70,Iqaluit,CA,2022-04-09 17:29:51,63.7506,-68.5145,19.13,92,100,3.44
71,Tornio,FI,2022-04-09 17:30:14,65.8481,24.1466,32.02,93,100,6.6
72,Stornoway,GB,2022-04-09 17:30:14,58.2093,-6.3865,45.93,62,75,9.22
73,Cape Town,ZA,2022-04-09 17:27:03,-33.9258,18.4232,74.26,60,0,14.97
74,Constitucion,CL,2022-04-09 17:30:15,-35.3333,-72.4167,62.04,66,39,7.49
75,Mataura,NZ,2022-04-09 17:30:15,-46.1927,168.8643,43.25,98,80,2.91
76,Ilinskiy,RU,2022-04-09 17:30:15,55.619,38.1182,48.58,81,0,8.99
77,Acari,PE,2022-04-09 17:30:16,-15.4311,-74.6158,81.36,55,36,10.56
78,Nouakchott,MR,2022-04-09 17:30:16,18.0858,-15.9785,80.53,51,27,18.84
79,Yar-Sale,RU,2022-04-09 17:30:16,66.8333,70.8333,6.1,95,100,5.5
80,Havre,FR,2022-04-09 17:30:17,49.5833,0.3333,47.34,66,0,8.05
81,Ribeira Grande,PT,2022-04-09 17:30:17,38.5167,-28.7,57.6,62,20,32.21
82,Kaitangata,NZ,2022-04-09 17:30:17,-46.2817,169.8464,49.48,87,37,9.22
